0.0%	3
0.1%	10
0.2%	15
0.3%	28
0.4%	36
0.5%	55
0.6%	66
0.7%	91
0.8%	105
0.9%	136 
1.0%	153
1.1%	190
1.2%	210
1.3%	253
1.4%	276
1.5%	325
1.6%	351
1.7%	406
1.8%	435
1.9%	496
2.0%	528
2.1%	595
2.2%	630
2.3%	703
2.4%	741
2.5%	820
2.6%	861
2.7%	946
2.8%	990
2.9%	1081
3.0%	1128
3.1%	1225
3.2%	1275
3.3%	1378
3.4%	1431
3.5%	1540
3.6%	1596
3.7%	1711
3.8%	1770
3.9%	1891
4.0%	1953
4.1%	2080
4.2%	2145
4.3%	2278
4.4%	2346
4.5%	2485
4.6%	2556
4.7%	2701
4.8%	2775
4.9%	2926
5.0%	3003
5.1%	3160
5.2%	3240
5.3%	3403
5.4%	3486
5.5%	3655
5.6%	3741
5.7%	3916
5.8%	4005
5.9%	4186
6.0%	4278
6.1%	4465
6.2%	4560
6.3%	4753
6.4%	4851
6.5%	5050
6.6%	5151
6.7%	5356
6.8%	5460
6.9%	5671
7.0%	5778
7.1%	5995
7.2%	6105
7.3%	6328
7.4%	6441
7.5%	6670
7.6%	6786
7.7%	7021
7.8%	7140
7.9%	7381
8.0%	7503
8.1%	7750
8.2%	7875
8.3%	8128
8.4%	8256
8.5%	8515
8.6%	8646
8.7%	8911
8.8%	9045
8.9%	9316
9.0%	9453
9.1%	9730
9.2%	9870
9.3%	10153
9.4%	10296
9.5%	10585
9.6%	10731
9.7%	11026
9.8%	11175
9.9%	11476
10.0%	11628
10.1%	11935
10.2%	12090
10.3%	12403
10.4%	12561
10.5%	12880
10.6%	13041
10.7%	13366
10.8%	13530
10.9%	13861
11.0%	14028
11.1%	14365
11.2%	14535
11.3%	14878
11.4%	15051
11.5%	15400
11.6%	15576
11.7%	15931
11.8%	16110
11.9%	16471
12.0%	16653
12.1%	17020
12.2%	17205
12.3%	17578
12.4%	17766
12.5%	18145
12.6%	18336
12.7%	18721
12.8%	18915
12.9%	19306
13.0%	19503
13.1%	19900
13.2%	20100
13.3%	20503
13.4%	20706
13.5%	21115
13.6%	21321
13.7%	21736
13.8%	21945
13.9%	22366
14.0%	22578
14.1%	23005
14.2%	23220
14.3%	23653
14.4%	23871
14.5%	24310
14.6%	24531
14.7%	24976
14.8%	25200
14.9%	25651
15.0%	25878
15.1%	26335
15.2%	26565
15.3%	27028
15.4%	27261
15.5%	27730
15.6%	27966
15.7%	28441
15.8%	28680
15.9%	29161
16.0%	29403
16.1%	29890
16.2%	30135
16.3%	30628
16.4%	30876
16.5%	31375
16.6%	31626
16.7%	32131
16.8%	32385
16.9%	32896
17.0%	33153
17.1%	33670
17.2%	33930
17.3%	34453
17.4%	34716
17.5%	35245
17.6%	35511
17.7%	36046
17.8%	36315
17.9%	36856
18.0%	37128
18.1%	37675
18.2%	37950
18.3%	38503
18.4%	38781
18.5%	39340
18.6%	39621
18.7%	40186
18.8%	40470
18.9%	41041
19.0%	41328
19.1%	41905
19.2%	42195
19.3%	42778
19.4%	43071
19.5%	43660
19.6%	43956
19.7%	44551
19.8%	44850
19.9%	45451
20.0%	45753
20.1%	46360
20.2%	46665
20.3%	47278
20.4%	47586
20.5%	48205
20.6%	48516
20.7%	49141
20.8%	49455
20.9%	50086
21.0%	50403
21.1%	51040
21.2%	51360
21.3%	52003
21.4%	52326
21.5%	52975
21.6%	53301
21.7%	53956
21.8%	54285
21.9%	54946
22.0%	55278
22.1%	55945
22.2%	56280
22.3%	56953
22.4%	57291
22.5%	57970
22.6%	58311
22.7%	58996
22.8%	59340
22.9%	60031
23.0%	60378
23.1%	61075
23.2%	61425
23.3%	62128
23.4%	62481
23.5%	63190
23.6%	63546
23.7%	64261
23.8%	64620
23.9%	65341
24.0%	65703
24.1%	66430
24.2%	66795
24.3%	67528
24.4%	67896
24.5%	68635
24.6%	69006
24.7%	69751
24.8%	70125
24.9%	70876
25.0%	71253
25.1%	72010
25.2%	72390
25.3%	73153
25.4%	73536
25.5%	74305
25.6%	74691
25.7%	75466
25.8%	75855
25.9%	76636
26.0%	77028
26.1%	77815
26.2%	78210
26.3%	79003
26.4%	79401
26.5%	80200
26.6%	80601
26.7%	81406
26.8%	81810
26.9%	82621
27.0%	83028
27.1%	83845
27.2%	84255
27.3%	85078
27.4%	85491
27.5%	86320
27.6%	86736
27.7%	87571
27.8%	87990
27.9%	88831
28.0%	89253
28.1%	90100
28.2%	90525
28.3%	91378
28.4%	91806
28.5%	92665
28.6%	93096
28.7%	93961
28.8%	94395
28.9%	95266
29.0%	95703
29.1%	96580
29.2%	97020
29.3%	97903
29.4%	98346
29.5%	99235
29.6%	99681
29.7%	100576
29.8%	101025
29.9%	101926
30.0%	102378
30.1%	103285
30.2%	103740
30.3%	104653
30.4%	105111
30.5%	106030
30.6%	106491
30.7%	107416
30.8%	107880
30.9%	108811
31.0%	109278
31.1%	110215
31.2%	110685
31.3%	111628
31.4%	112101
31.5%	113050
31.6%	113526
31.7%	114481
31.8%	114960
31.9%	115921
32.0%	116403
32.1%	117370
32.2%	117855
32.3%	118828
32.4%	119316
32.5%	120295
32.6%	120786
32.7%	121771
32.8%	122265
32.9%	123256
33.0%	123753
33.1%	124750
33.2%	125250
33.3%	126253
33.4%	126756
33.5%	127765
33.6%	128271
33.7%	129286
33.8%	129795
33.9%	130816
34.0%	131328
34.1%	132355
34.2%	132870
34.3%	133903
34.4%	134421
34.5%	135460
34.6%	135981
34.7%	137026
34.8%	137550
34.9%	138601
35.0%	139128
35.1%	140185
35.2%	140715
35.3%	141778
35.4%	142311
35.5%	143380
35.6%	143916
35.7%	144991
35.8%	145530
35.9%	146611
36.0%	147153
36.1%	148240
36.2%	148785
36.3%	149878
36.4%	150426
36.5%	151525
36.6%	152076
36.7%	153181
36.8%	153735
36.9%	154846
37.0%	155403
37.1%	156520
37.2%	157080
37.3%	158203
37.4%	158766
37.5%	159895
37.6%	160461
37.7%	161596
37.8%	162165
37.9%	163306
38.0%	163878
38.1%	165025
38.2%	165600
38.3%	166753
38.4%	167331
38.5%	168490
38.6%	169071
38.7%	170236
38.8%	170820
38.9%	171991
39.0%	172578
39.1%	173755
39.2%	174345
39.3%	175528
39.4%	176121
39.5%	177310
39.6%	177906
39.7%	179101
39.8%	179700
39.9%	180901
40.0%	181503
40.1%	182710
40.2%	183315
40.3%	184528
40.4%	185136
40.5%	186355
40.6%	186966
40.7%	188191
40.8%	188805
40.9%	190036
41.0%	190653
41.1%	191890
41.2%	192510
41.3%	193753
41.4%	194376
41.5%	195625
41.6%	196251
41.7%	197506
41.8%	198135
41.9%	199396
42.0%	200028
42.1%	201295
42.2%	201930
42.3%	203203
42.4%	203841
42.5%	205120
42.6%	205761
42.7%	207046
42.8%	207690
42.9%	208981
43.0%	209628
43.1%	210925
43.2%	211575
43.3%	212878
43.4%	213531
43.5%	214840
43.6%	215496
43.7%	216811
43.8%	217470
43.9%	218791
44.0%	219453
44.1%	220780
44.2%	221445
44.3%	222778
44.4%	223446
44.5%	224785
44.6%	225456
44.7%	226801
44.8%	227475
44.9%	228826
45.0%	229503
45.1%	230860
45.2%	231540
45.3%	232903
45.4%	233586
45.5%	234955
45.6%	235641
45.7%	237016
45.8%	237705
45.9%	239086
46.0%	239778
46.1%	241165
46.2%	241860
46.3%	243253
46.4%	243951
46.5%	245350
46.6%	246051
46.7%	247456
46.8%	248160
46.9%	249571
47.0%	250278
47.1%	251695
47.2%	252405
47.3%	253828
47.4%	254541
47.5%	255970
47.6%	256686
47.7%	258121
47.8%	258840
47.9%	260281
48.0%	261003
48.1%	262450
48.2%	263175
48.3%	264628
48.4%	265356
48.5%	266815
48.6%	267546
48.7%	269011
48.8%	269745
48.9%	271216
49.0%	271953
49.1%	273430
49.2%	274170
49.3%	275653
49.4%	276396
49.5%	277885
49.6%	278631
49.7%	280128
49.8%	280878
49.9%	282381
50.0%	283888
50.1%	284643
50.2%	286156
50.3%	286914
50.4%	288433
50.5%	289194
50.6%	290719
50.7%	291483
50.8%	293014
50.9%	293781
51.0%	295318
51.1%	296088
51.2%	297631
51.3%	298404
51.4%	299955
51.5%	300732
51.6%	302289
51.7%	303069
51.8%	304632
51.9%	305415
52.0%	306984
52.1%	307770
52.2%	309345
52.3%	310134
52.4%	311715
52.5%	312507
52.6%	314094
52.7%	314889
52.8%	316482
52.9%	317280
53.0%	318879
53.1%	319681
53.2%	321288
53.3%	322093
53.4%	323706
53.5%	324514
53.6%	326135
53.7%	326947
53.8%	328574
53.9%	329389
54.0%	331022
54.1%	331840
54.2%	333479
54.3%	334300
54.4%	335945
54.5%	336769
54.6%	338420
54.7%	339247
54.8%	340906
54.9%	341737
55.0%	343402
55.1%	344236
55.2%	345907
55.3%	346744
55.4%	348423
55.5%	349264
55.6%	350951
55.7%	351796
55.8%	353489
55.9%	354337
56.0%	356037
56.1%	356889
56.2%	358597
56.3%	359453
56.4%	361168
56.5%	362027
56.6%	363748
56.7%	364610
56.8%	366337
56.9%	367202
57.0%	368935
57.1%	369803
57.2%	371542
57.3%	372413
57.4%	374158
57.5%	375032
57.6%	376784
57.7%	377662
57.8%	379421
57.9%	380302
58.0%	382069
58.1%	382954
58.2%	384727
58.3%	385615
58.4%	387394
58.5%	388285
58.6%	390070
58.7%	390964
58.8%	392757
58.9%	393655
59.0%	395456
59.1%	396358
59.2%	398165
59.3%	399070
59.4%	400884
59.5%	401793
59.6%	403614
59.7%	404526
59.8%	406355
59.9%	407271
60.0%	409106
60.1%	410025
60.2%	411866
60.3%	412788
60.4%	414635
60.5%	415560
60.6%	417413
60.7%	418341
60.8%	420200
60.9%	421131
61.0%	422996
61.1%	423930
61.2%	425805
61.3%	426744
61.4%	428625
61.5%	429567
61.6%	431456
61.7%	432402
61.8%	434298
61.9%	435248
62.0%	437152
62.1%	438106
62.2%	440019
62.3%	440977
62.4%	442896
62.5%	443857
62.6%	445784
62.7%	446749
62.8%	448682
62.9%	449650
63.0%	451589
63.1%	452561
63.2%	454509
63.3%	455485
63.4%	457440
63.5%	458419
63.6%	460380
63.7%	461362
63.8%	463329
63.9%	464314
64.0%	466287
64.1%	467275
64.2%	469254
64.3%	470245
64.4%	472230
