0.0%	10
0.1%	18
0.2%	38
0.3%	39
0.4%	66
0.5%	60
0.6%	94
0.7%	81
0.8%	122
0.9%	102
1.0%	111
1.1%	162
1.2%	132
1.3%	190
1.4%	153
1.5%	218
1.6%	174
1.7%	246
1.8%	195
1.9%	204
2.0%	286
2.1%	225
2.2%	314
2.3%	246
2.4%	342
2.5%	267
2.6%	370
2.7%	288
2.8%	398
2.9%	309
3.0%	318
3.1%	438
3.2%	339
3.3%	466
3.4%	360
3.5%	494
3.6%	381
3.7%	522
3.8%	402
3.9%	411
4.0%	562
4.1%	432
4.2%	590
4.3%	453
4.4%	618
4.5%	474
4.6%	646
4.7%	495
4.8%	674
4.9%	516
5.0%	525
5.1%	714
5.2%	546
5.3%	742
5.4%	567
5.5%	770
5.6%	588
5.7%	798
5.8%	609
5.9%	618
6.0%	838
6.1%	639
6.2%	866
6.3%	660
6.4%	894
6.5%	681
6.6%	922
6.7%	702
6.8%	711
6.9%	962
7.0%	732
7.1%	990
7.2%	753
7.3%	1018
7.4%	774
7.5%	1046
7.6%	795
7.7%	1074
7.8%	816
7.9%	825
8.0%	1114
8.1%	846
8.2%	1142
8.3%	867
8.4%	1170
8.5%	888
8.6%	1198
8.7%	909
8.8%	918
8.9%	1238
9.0%	939
9.1%	1266
9.2%	960
9.3%	1294
9.4%	981
9.5%	1322
9.6%	1002
9.7%	1350
9.8%	1023
9.9%	1032
10.0%	1390
10.1%	1053
10.2%	1418
10.3%	1074
10.4%	1446
10.5%	1095
10.6%	1474
10.7%	1116
10.8%	1125
10.9%	1514
11.0%	1146
11.1%	1542
11.2%	1167
11.3%	1570
11.4%	1188
11.5%	1598
11.6%	1209
11.7%	1218
11.8%	1638
11.9%	1239
12.0%	1666
12.1%	1260
12.2%	1694
12.3%	1281
12.4%	1722
12.5%	1302
12.6%	1750
12.7%	1323
12.8%	1332
12.9%	1790
13.0%	1353
13.1%	1818
13.2%	1374
13.3%	1846
13.4%	1395
13.5%	1874
13.6%	1416
13.7%	1425
13.8%	1914
13.9%	1446
14.0%	1942
14.1%	1467
14.2%	1970
14.3%	1488
14.4%	1998
14.5%	1509
14.6%	2026
14.7%	1530
14.8%	1539
14.9%	2066
15.0%	1560
15.1%	2094
15.2%	1581
15.3%	2122
15.4%	1602
15.5%	2150
15.6%	1623
15.7%	1632
15.8%	2190
15.9%	1653
16.0%	2218
16.1%	1674
16.2%	2246
16.3%	1695
16.4%	2274
16.5%	1716
16.6%	1725
16.7%	2314
16.8%	1746
16.9%	2342
17.0%	1767
17.1%	2370
17.2%	1788
17.3%	2398
17.4%	1809
17.5%	2426
17.6%	1830
17.7%	1839
17.8%	2466
17.9%	1860
18.0%	2494
18.1%	1881
18.2%	2522
18.3%	1902
18.4%	2550
18.5%	1923
18.6%	1932
18.7%	2590
18.8%	1953
18.9%	2618
19.0%	1974
19.1%	2646
19.2%	1995
19.3%	2674
19.4%	2016
19.5%	2702
19.6%	2037
19.7%	2046
19.8%	2742
19.9%	2067
20.0%	2770
20.1%	2088
20.2%	2798
20.3%	2109
20.4%	2826
20.5%	2130
20.6%	2139
20.7%	2866
20.8%	2160
20.9%	2894
21.0%	2181
21.1%	2922
21.2%	2202
21.3%	2950
21.4%	2223
21.5%	2232
21.6%	2990
21.7%	2253
21.8%	3018
21.9%	2274
22.0%	3046
22.1%	2295
22.2%	3074
22.3%	2316
22.4%	3102
22.5%	2337
22.6%	2346
22.7%	3142
22.8%	2367
22.9%	3170
23.0%	2388
23.1%	3198
23.2%	2409
23.3%	3226
23.4%	2430
23.5%	2439
23.6%	3266
23.7%	2460
23.8%	3294
23.9%	2481
24.0%	3322
24.1%	2502
24.2%	3350
24.3%	2523
24.4%	3378
24.5%	2544
24.6%	2553
24.7%	3418
24.8%	2574
24.9%	3446
25.0%	2595
25.1%	3474
25.2%	2616
25.3%	3502
25.4%	2637
25.5%	2646
25.6%	3542
25.7%	2667
25.8%	3570
25.9%	2688
26.0%	3598
26.1%	2709
26.2%	3626
26.3%	2730
26.4%	2739
26.5%	3666
26.6%	2760
26.7%	3694
26.8%	2781
26.9%	3722
27.0%	2802
27.1%	3750
27.2%	2823
27.3%	3778
27.4%	2844
27.5%	2853
27.6%	3818
27.7%	2874
27.8%	3846
27.9%	2895
28.0%	3874
28.1%	2916
28.2%	3902
28.3%	2937
28.4%	2946
28.5%	3942
28.6%	2967
28.7%	3970
28.8%	2988
28.9%	3998
29.0%	3009
29.1%	4026
29.2%	3030
29.3%	4054
29.4%	3051
29.5%	3060
29.6%	4094
29.7%	3081
29.8%	4122
29.9%	3102
30.0%	4150
30.1%	3123
30.2%	4178
30.3%	3144
30.4%	3153
30.5%	4218
30.6%	3174
30.7%	4246
30.8%	3195
30.9%	4274
31.0%	3216
31.1%	4302
31.2%	3237
31.3%	3246
31.4%	4342
31.5%	3267
31.6%	4370
31.7%	3288
31.8%	4398
31.9%	3309
32.0%	4426
32.1%	3330
32.2%	4454
32.3%	3351
32.4%	3360
32.5%	4494
32.6%	3381
32.7%	4522
32.8%	3402
32.9%	4550
33.0%	3423
33.1%	4578
33.2%	3444
33.3%	3453
33.4%	4618
33.5%	3474
33.6%	4646
33.7%	3495
33.8%	4674
33.9%	3516
34.0%	4702
34.1%	3537
34.2%	4730
34.3%	3558
34.4%	3567
34.5%	4770
34.6%	3588
34.7%	4798
34.8%	3609
34.9%	4826
35.0%	3630
35.1%	4854
35.2%	3651
35.3%	3660
35.4%	4894
35.5%	3681
35.6%	4922
35.7%	3702
35.8%	4950
35.9%	3723
36.0%	4978
36.1%	3744
36.2%	3753
36.3%	5018
36.4%	3774
36.5%	5046
36.6%	3795
36.7%	5074
36.8%	3816
36.9%	5102
37.0%	3837
37.1%	5130
37.2%	3858
37.3%	3867
37.4%	5170
37.5%	3888
37.6%	5198
37.7%	3909
37.8%	5226
37.9%	3930
38.0%	5254
38.1%	3951
38.2%	3960
38.3%	5294
38.4%	3981
38.5%	5322
38.6%	4002
38.7%	5350
38.8%	4023
38.9%	5378
39.0%	4044
39.1%	5406
39.2%	4065
39.3%	4074
39.4%	5446
39.5%	4095
39.6%	5474
39.7%	4116
39.8%	5502
39.9%	4137
40.0%	5530
40.1%	4158
40.2%	4167
40.3%	5570
40.4%	4188
40.5%	5602
40.6%	4212
40.7%	5630
40.8%	4233
40.9%	5658
41.0%	4254
41.1%	4263
41.2%	5698
41.3%	4284
41.4%	5726
41.5%	4305
41.6%	5754
41.7%	4326
41.8%	5782
41.9%	4347
42.0%	5810
42.1%	4368
42.2%	4377
42.3%	5850
42.4%	4398
42.5%	5878
42.6%	4419
42.7%	5906
42.8%	4443
42.9%	5938
43.0%	4464
43.1%	4473
43.2%	5978
43.3%	4494
43.4%	6006
43.5%	4515
43.6%	6034
43.7%	4536
43.8%	6062
43.9%	4557
44.0%	6092
44.1%	4583
44.2%	4595
44.3%	6142
44.4%	4617
44.5%	6170
44.6%	4638
44.7%	6198
44.8%	4662
44.9%	6230
45.0%	4683
45.1%	4692
45.2%	6273
45.3%	4716
45.4%	6302
45.5%	4737
45.6%	6330
45.7%	4758
45.8%	6358
45.9%	4779
46.0%	4788
46.1%	6400
46.2%	4812
46.3%	6430
46.4%	4835
46.5%	6462
46.6%	4858
46.7%	6494
46.8%	4881
46.9%	6522
47.0%	4902
47.1%	4911
47.2%	6562
47.3%	4932
47.4%	6594
47.5%	4956
47.6%	6622
47.7%	4977
47.8%	6652
47.9%	5001
48.0%	5010
48.1%	6694
48.2%	5031
48.3%	6722
48.4%	5052
48.5%	6752
48.6%	5076
48.7%	6782
48.8%	5097
48.9%	6810
49.0%	5118
49.1%	5127
49.2%	6854
49.3%	5151
49.4%	6884
49.5%	5175
49.6%	6915
49.7%	5199
49.8%	6946
49.9%	5220
50.0%	5229
50.1%	6986
50.2%	5250
50.3%	7014
50.4%	5271
50.5%	7046
50.6%	5295
50.7%	7074
50.8%	5316
50.9%	5326
51.0%	7118
51.1%	5349
51.2%	7148
51.3%	5373
51.4%	7178
51.5%	5397
51.6%	7210
51.7%	5418
51.8%	7238
51.9%	5441
52.0%	5451
52.1%	7282
52.2%	5478
52.3%	7322
52.4%	5502
52.5%	7350
52.6%	5523
52.7%	7378
52.8%	5549
52.9%	5562
53.0%	7430
53.1%	5586
53.2%	7462
53.3%	5607
53.4%	7491
53.5%	5631
53.6%	7522
53.7%	5652
53.8%	7554
53.9%	5676
54.0%	5685
54.1%	7594
54.2%	5707
54.3%	7626
54.4%	5730
54.5%	7654
54.6%	5751
54.7%	7682
54.8%	5772
54.9%	5781
55.0%	7722
55.1%	5802
55.2%	7750
55.3%	5825
55.4%	7784
55.5%	5852
55.6%	7822
55.7%	5882
55.8%	5892
55.9%	7872
56.0%	5916
56.1%	7902
56.2%	5937
56.3%	7930
56.4%	5960
56.5%	7962
56.6%	5982
56.7%	7992
56.8%	6009
56.9%	6023
57.0%	8050
57.1%	6048
57.2%	8083
57.3%	6075
57.4%	8114
57.5%	6097
57.6%	8146
57.7%	6123
57.8%	6132
57.9%	8195
58.0%	6159
58.1%	8227
58.2%	6183
58.3%	8260
58.4%	6210
58.5%	8294
58.6%	6231
58.7%	8322
58.8%	6252
58.9%	6263
59.0%	8367
59.1%	6288
59.2%	8403
59.3%	6317
59.4%	8442
59.5%	6344
59.6%	8474
59.7%	6367
59.8%	6380
59.9%	8528
60.0%	6409
60.1%	8570
60.2%	6442
60.3%	8606
60.4%	6466
60.5%	8641
60.6%	6492
60.7%	6501
60.8%	8683
60.9%	6525
61.0%	8714
61.1%	6548
61.2%	8746
61.3%	6572
61.4%	8778
61.5%	6594
61.6%	8806
61.7%	6617
61.8%	6627
61.9%	8855
62.0%	6660
62.1%	8894
62.2%	6683
62.3%	8926
62.4%	6705
62.5%	8954
62.6%	6728
62.7%	6742
62.8%	9010
62.9%	6768
63.0%	9038
63.1%	6789
63.2%	9069
