0.0%	10
0.1%	28
0.2%	66
0.3%	105
0.4%	171
0.5%	231
0.6%	325
0.7%	406
0.8%	528
0.9%	630
1.0%	741
1.1%	903
1.2%	1035
1.3%	1225
1.4%	1378
1.5%	1596
1.6%	1770
1.7%	2016
1.8%	2211
1.9%	2415
2.0%	2701
2.1%	2926
2.2%	3240
2.3%	3486
2.4%	3828
2.5%	4095
2.6%	4465
2.7%	4753
2.8%	5151
2.9%	5460
3.0%	5778
3.1%	6216
3.2%	6555
3.3%	7021
3.4%	7381
3.5%	7875
3.6%	8256
3.7%	8778
3.8%	9180
3.9%	9591
4.0%	10153
4.1%	10585
4.2%	11175
4.3%	11628
4.4%	12246
4.5%	12720
4.6%	13366
4.7%	13861
4.8%	14535
4.9%	15051
5.0%	15576
5.1%	16290
5.2%	16836
5.3%	17578
5.4%	18145
5.5%	18915
5.6%	19503
5.7%	20301
5.8%	20910
5.9%	21528
6.0%	22366
6.1%	23005
6.2%	23871
6.3%	24531
6.4%	25425
6.5%	26106
6.6%	27028
6.7%	27730
6.8%	28441
6.9%	29403
7.0%	30135
7.1%	31125
7.2%	31878
7.3%	32896
7.4%	33670
7.5%	34716
7.6%	35511
7.7%	36585
7.8%	37401
7.9%	38226
8.0%	39340
8.1%	40186
8.2%	41328
8.3%	42195
8.4%	43365
8.5%	44253
8.6%	45451
8.7%	46360
8.8%	47278
8.9%	48516
9.0%	49455
9.1%	50721
9.2%	51681
9.3%	52975
9.4%	53956
9.5%	55278
9.6%	56280
9.7%	57630
9.8%	58653
9.9%	59685
10.0%	61075
10.1%	62128
10.2%	63546
10.3%	64620
10.4%	66066
10.5%	67161
10.6%	68635
10.7%	69751
10.8%	70876
10.9%	72390
11.0%	73536
11.1%	75078
11.2%	76245
11.3%	77815
11.4%	79003
11.5%	80601
11.6%	81810
11.7%	83028
11.8%	84666
11.9%	85905
12.0%	87571
12.1%	88831
12.2%	90525
12.3%	91806
12.4%	93528
12.5%	94830
12.6%	96580
12.7%	97903
12.8%	99235
12.9%	101025
13.0%	102378
13.1%	104196
13.2%	105570
13.3%	107416
13.4%	108811
13.5%	110685
13.6%	112101
13.7%	113526
13.8%	115440
13.9%	116886
14.0%	118828
14.1%	120295
14.2%	122265
14.3%	123753
14.4%	125751
14.5%	127260
14.6%	129286
14.7%	130816
14.8%	132355
14.9%	134421
15.0%	135981
15.1%	138075
15.2%	139656
15.3%	141778
15.4%	143380
15.5%	145530
15.6%	147153
15.7%	148785
15.8%	150975
15.9%	152628
16.0%	154846
16.1%	156520
16.2%	158766
16.3%	160461
16.4%	162735
16.5%	164451
16.6%	166176
16.7%	168490
16.8%	170236
16.9%	172578
17.0%	174345
17.1%	176715
17.2%	178503
17.3%	180901
17.4%	182710
17.5%	185136
17.6%	186966
17.7%	188805
17.8%	191271
17.9%	193131
18.0%	195625
18.1%	197506
18.2%	200028
18.3%	201930
18.4%	204480
18.5%	206403
18.6%	208335
18.7%	210925
18.8%	212878
18.9%	215496
19.0%	217470
19.1%	220116
19.2%	222111
19.3%	224785
19.4%	226801
19.5%	229503
19.6%	231540
19.7%	233586
19.8%	236328
19.9%	238395
20.0%	241165
20.1%	243253
20.2%	246051
20.3%	248160
20.4%	250986
20.5%	253116
20.6%	255255
20.7%	258121
20.8%	260281
20.9%	263175
21.0%	265356
21.1%	268278
21.2%	270480
21.3%	273430
21.4%	275653
21.5%	277885
21.6%	280875
21.7%	283128
